intervenant,parti,intervention,text_cleaned,emotions
Yaël Braun-Pivet,REN,"
Nous en venons à une série d'amendements identiques, visant à supprimer l'article liminaire.La parole est à M. Fabrice Brun, pour soutenir le premier d'entre eux, l'amendement n° 114 . ",nous en venons à une série d'amendements identiques visant à supprimer l'article liminaire.la parole est à m. fabrice brun pour soutenir le premier d'entre eux l'amendement n°  .,"[{'label': 'joy', 'score': 0.710431694984436}]"
Fabrice Brun,LR,"
La suppression de l'article liminaire me donne l'occasion de rappeler que, derrière les chiffres, il y a des femmes et des hommes… ",la suppression de l'article liminaire me donne l'occasion de rappeler que derrière les chiffres il y a des femmes et des hommes…,"[{'label': 'anger', 'score': 0.947869062423706}]"
Ian Boucard,LR,"
Il a raison ! ",il a raison ,"[{'label': 'joy', 'score': 0.8686319589614868}]"
Fabrice Brun,LR,"
…au parcours souvent aussi fracturé que les territoires qu'ils aiment et où ils habitent, des classes moyennes et populaires qui paient le prix fort de votre réforme comptable. Celle-ci est injuste pour les mères de famille, à qui vous sucrez les trimestres liés à la maternité ;… ",…au parcours souvent aussi fracturé que les territoires qu'ils aiment et où ils habitent des classes moyennes et populaires qui paient le prix fort de votre réforme comptable. celleci est injuste pour les mères de famille à qui vous sucrez les trimestres liés à la maternité ;…,"[{'label': 'anger', 'score': 0.482403427362442}]"
Ian Boucard,LR,"
Il a raison ! ",il a raison ,"[{'label': 'joy', 'score': 0.8686319589614868}]"
Fabrice Brun,LR,"
…injuste pour les femmes – c'est d'ailleurs le ministre Riester qui en parle le mieux –… ",…injuste pour les femmes – c'est d'ailleurs le ministre riester qui en parle le mieux –…,"[{'label': 'anger', 'score': 0.531507134437561}]"
Pierre Cordier,app. LR,"
Eh oui ! ",eh oui ,"[{'label': 'anger', 'score': 0.7770354151725769}]"
Fabrice Brun,LR,"
…et pour les carrières longues – ceux qui ont commencé à travailler tôt devraient pouvoir arrêter plus tôt. Elle est injuste parce que, une fois de plus, vous demandez des efforts toujours aux mêmes, à savoir ceux qui travaillent.Pourtant, entre votre réforme comptable qui prévoit un départ à 64 ans et le mirage de la retraite à 60 ans de la NUPES, un autre chemin existe : celui des efforts mieux partagés, d'une durée de cotisation de quarante-trois ans maximum et d'une politique bien plus incitative de retour à l'emploi, car l'on manque partout de bras – le premier gisement d'heures travaillées, donc cotisées se trouve dans le million d'emplois non pourvus , ",…et pour les carrières longues – ceux qui ont commencé à travailler tôt devraient pouvoir arrêter plus tôt. elle est injuste parce que une fois de plus vous demandez des efforts toujours aux mêmes à savoir ceux qui travaillent.pourtant entre votre réforme comptable qui prévoit un départ à  ans et le mirage de la retraite à  ans de la nupes un autre chemin existe  celui des efforts mieux partagés d'une durée de cotisation de quarantetrois ans maximum et d'une politique bien plus incitative de retour à l'emploi car l'on manque partout de bras – le premier gisement d'heures travaillées donc cotisées se trouve dans le million d'emplois non pourvus ,"[{'label': 'joy', 'score': 0.6402456760406494}, {'label': 'joy', 'score': 0.6068949103355408}]"
Fabrice Brun,LR,"
tout en luttant davantage contre la fraude. Il faut également engager une véritable politique familiale nataliste, car la démographie est la grande oubliée.Enfin, il faut prévoir une convergence bien plus rapide des régimes spéciaux : la clause du grand-père, c'est trop long ! ",tout en luttant davantage contre la fraude. il faut également engager une véritable politique familiale nataliste car la démographie est la grande oubliée.enfin il faut prévoir une convergence bien plus rapide des régimes spéciaux  la clause du grandpère c'est trop long ,"[{'label': 'anger', 'score': 0.9411364793777466}]"
Fabien Di Filippo,LR,"
Il a raison ! Un peu de courage, réformez vraiment ! ",il a raison  un peu de courage réformez vraiment ,"[{'label': 'joy', 'score': 0.8670302629470825}]"
Fabrice Brun,LR,"
Comment pouvez-vous encore justifier aujourd'hui qu'un comptable de la RATP parte à 59 ans, alors que la femme de ménage ou l'aide à domicile cravacheront jusqu'à 64 ans, voire 67 ans ? ",comment pouvezvous encore justifier aujourd'hui qu'un comptable de la ratp parte à  ans alors que la femme de ménage ou l'aide à domicile cravacheront jusqu'à  ans voire  ans ,"[{'label': 'anger', 'score': 0.6376014351844788}]"
Ian Boucard,LR,"
Il a raison ! ",il a raison ,"[{'label': 'joy', 'score': 0.8686319589614868}]"
Fabrice Brun,LR,"
Pour moi, comme pour plusieurs de mes collègues, le choix est clair : sans justice, pas de réforme. ",pour moi comme pour plusieurs de mes collègues le choix est clair  sans justice pas de réforme.,"[{'label': 'anger', 'score': 0.5828038454055786}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme Emmanuelle Ménard, pour soutenir l'amendement n° 429 . ",la parole est à mme emmanuelle ménard pour soutenir l'amendement n°  .,"[{'label': 'joy', 'score': 0.5556339025497437}]"
Emmanuelle Ménard,NI,"
À droite comme à gauche, cet article est unanimement décrié parce qu'il fait état de projections financières aussi imprécises que floues. Il fait même référence, cela a été rappelé, au projet de loi de programmation des finances publiques pour les années 2023 à 2027, rejeté en première lecture par l'Assemblée nationale.Avec votre réforme, la dette pour combler nos déficits persistants devient la normalité et une modalité pérenne du financement des retraites. Or, selon le président de la Cour des comptes, Pierre Moscovici, « nos niveaux de dette et de déficits sont très élevés » et « le contexte de financement de la dette s'est dégradé » avec l'envolée des taux d'intérêt. « Cette situation dégradée me préoccupe », explique-t-il. Malheureusement, il n'y a pas que lui !La France est, au sein de la zone euro, l'un des pays dont la situation des finances publiques est parmi les plus dégradées et elle est championne en matière de dépenses publiques. Et que proposez-vous ? De faire perdurer ce système. Reculer l'âge de la retraite ne fera que repousser les échéances. Tant que la population continuera de vieillir, nous devrons régulièrement reculer l'âge de départ à la retraite. Il est donc grand temps que l'État prenne ses responsabilités d'employeur et qu'il se montre respectueux de l'argent des contribuables. La part des régimes obligatoires de retraite dans les déficits publics, principalement liés au besoin de financement des régimes des fonctionnaires, reste absente du débat public. Il est grand temps de remettre toutes ces questions à plat. C'est pourquoi il convient de supprimer l'article liminaire. ",à droite comme à gauche cet article est unanimement décrié parce qu'il fait état de projections financières aussi imprécises que floues. il fait même référence cela a été rappelé au projet de loi de programmation des finances publiques pour les années  à  rejeté en première lecture par l'assemblée nationale.avec votre réforme la dette pour combler nos déficits persistants devient la normalité et une modalité pérenne du financement des retraites. or selon le président de la cour des comptes pierre moscovici « nos niveaux de dette et de déficits sont très élevés » et « le contexte de financement de la dette s'est dégradé » avec l'envolée des taux d'intérêt. « cette situation dégradée me préoccupe » expliquetil. malheureusement il n'y a pas que lui la france est au sein de la zone euro l'un des pays dont la situation des finances publiques est parmi les plus dégradées et elle est championne en matière de dépenses publiques. et que proposezvous  de faire perdurer ce système. reculer l'âge de la retraite ne fera que repousser les échéances. tant que la population continuera de vieillir nous devrons régulièrement reculer l'âge de départ à la retraite. il est donc grand temps que l'état prenne ses responsabilités d'employeur et qu'il se montre respectueux de l'argent des contribuables. la part des régimes obligatoires de retraite dans les déficits publics principalement liés au besoin de financement des régimes des fonctionnaires reste absente du débat public. il est grand temps de remettre toutes ces questions à plat. c'est pourquoi il convient de supprimer l'article liminaire.,"[{'label': 'joy', 'score': 0.4973638951778412}, {'label': 'anger', 'score': 0.48357152938842773}, {'label': 'anger', 'score': 0.6967942714691162}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Arthur Delaporte, pour soutenir l'amendement n° 542 . ",la parole est à m. arthur delaporte pour soutenir l'amendement n°  .,"[{'label': 'joy', 'score': 0.597198486328125}]"
Arthur Delaporte,SOC,"
Je veux vous faire part de ma surprise quant à cet article liminaire qui se fonde sur un projet de loi qui n'a pas été adopté par le Parlement. Le premier alinéa de l'article mentionne en effet : « les prévisions […] de ces mêmes agrégats telles qu'elles figurent dans le projet de loi de programmation des finances publiques pour les années 2023 à 2027 ». Le Gouvernement présente un texte fondé sur un projet de loi que le Parlement a rejeté. Comment est-ce possible ? ",je veux vous faire part de ma surprise quant à cet article liminaire qui se fonde sur un projet de loi qui n'a pas été adopté par le parlement. le premier alinéa de l'article mentionne en effet  « les prévisions […] de ces mêmes agrégats telles qu'elles figurent dans le projet de loi de programmation des finances publiques pour les années  à  ». le gouvernement présente un texte fondé sur un projet de loi que le parlement a rejeté. comment estce possible ,"[{'label': 'joy', 'score': 0.8883087038993835}]"
Fabien Di Filippo,LR,"
Il va falloir quelques explications. ",il va falloir quelques explications.,"[{'label': 'anger', 'score': 0.4174833297729492}]"
Arthur Delaporte,SOC,"
C'est pourquoi nous défendons un amendement de suppression de l'article, qui vise à dénoncer votre forfaiture, à faire part de notre stupeur et à poser plusieurs questions.L'article fait état d'une hausse de 400 millions de la branche vieillesse, correspondant à des mesures d'accompagnement liées à la présente loi que nous rejetons, notamment la question du minimum contributif ou encore des éléments de l'article 9, relatifs à la pénibilité. Toutefois, nous n'y voyons pas les baisses de dépenses, ni les hausses de recettes qui seraient générées par les mesures d'âge censées entrer en vigueur à partir du mois de septembre prochain. Où sont les économies ? Comment pouvez-vous affirmer que cet article est sincère, alors que les économies générées par l'accélération de l'entrée en vigueur de la mesure d'âge à partir de septembre prochain ne figurent pas dans le texte ? C'est ce que nous aimerions savoir et c'est pourquoi nous avons déposé cet amendement de suppression, afin de dénoncer l'insincérité du texte et ses mensonges. ",c'est pourquoi nous défendons un amendement de suppression de l'article qui vise à dénoncer votre forfaiture à faire part de notre stupeur et à poser plusieurs questions.l'article fait état d'une hausse de  millions de la branche vieillesse correspondant à des mesures d'accompagnement liées à la présente loi que nous rejetons notamment la question du minimum contributif ou encore des éléments de l'article  relatifs à la pénibilité. toutefois nous n'y voyons pas les baisses de dépenses ni les hausses de recettes qui seraient générées par les mesures d'âge censées entrer en vigueur à partir du mois de septembre prochain. où sont les économies  comment pouvezvous affirmer que cet article est sincère alors que les économies générées par l'accélération de l'entrée en vigueur de la mesure d'âge à partir de septembre prochain ne figurent pas dans le texte  c'est ce que nous aimerions savoir et c'est pourquoi nous avons déposé cet amendement de suppression afin de dénoncer l'insincérité du texte et ses mensonges.,"[{'label': 'anger', 'score': 0.6317709684371948}, {'label': 'joy', 'score': 0.9579808115959167}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Jérôme Guedj, pour soutenir l'amendement n° 645 . ",la parole est à m. jérôme guedj pour soutenir l'amendement n°  .,"[{'label': 'joy', 'score': 0.686207115650177}]"
Jérôme Guedj,SOC,"
Recourir à un PLFSS rectificatif pour réformer les retraites présente un premier inconvénient : vous vous enfermez d'emblée dans une approche excessivement comptable, au mépris de la prise en compte des conséquences réelles du recul de l'âge légal à 64 ans pour nos concitoyens.Le deuxième inconvénient, c'est que nous n'avons aucune visibilité alors qu'elle serait indispensable, monsieur le ministre chargé des comptes publics. Je souligne avec un peu de solennité que l'étude d'impact qui accompagne ce projet de loi de financement est d'une indigence que l'ensemble des observateurs ont déplorée. Elle n'éclaire nullement les législateurs que nous sommes alors qu'il s'agit de réformer les retraites.En outre, et nous aurons l'occasion d'y revenir, vous fondez vos prévisions sur la convention équilibre permanent des régimes, dite EPR, plutôt sur la convention effort de l'État constant, dite EEC. Ce choix de principe a pour conséquence de gonfler artificiellement les futurs déficits des régimes de retraite au détriment d'autres scénarios. Citons aussi l'abandon du modèle Mesange – modèle économétrique de simulation et d'analyse générale de l'économie –, développé par l'Insee et la direction générale du Trésor. Autant d'éléments que vous jugez sans doute trop keynésiens, vous qui êtes devenus néolibéraux.Bref, faute de visibilité et de prévisions sérieuses, nous ne pouvons appréhender dans de bonnes conditions les conséquences de votre réforme. ",recourir à un plfss rectificatif pour réformer les retraites présente un premier inconvénient  vous vous enfermez d'emblée dans une approche excessivement comptable au mépris de la prise en compte des conséquences réelles du recul de l'âge légal à  ans pour nos concitoyens.le deuxième inconvénient c'est que nous n'avons aucune visibilité alors qu'elle serait indispensable monsieur le ministre chargé des comptes publics. je souligne avec un peu de solennité que l'étude d'impact qui accompagne ce projet de loi de financement est d'une indigence que l'ensemble des observateurs ont déplorée. elle n'éclaire nullement les législateurs que nous sommes alors qu'il s'agit de réformer les retraites.en outre et nous aurons l'occasion d'y revenir vous fondez vos prévisions sur la convention équilibre permanent des régimes dite epr plutôt sur la convention effort de l'état constant dite eec. ce choix de principe a pour conséquence de gonfler artificiellement les futurs déficits des régimes de retraite au détriment d'autres scénarios. citons aussi l'abandon du modèle mesange – modèle économétrique de simulation et d'analyse générale de l'économie – développé par l'insee et la direction générale du trésor. autant d'éléments que vous jugez sans doute trop keynésiens vous qui êtes devenus néolibéraux.bref faute de visibilité et de prévisions sérieuses nous ne pouvons appréhender dans de bonnes conditions les conséquences de votre réforme.,"[{'label': 'anger', 'score': 0.7256852984428406}, {'label': 'joy', 'score': 0.5203958749771118}, {'label': 'joy', 'score': 0.5740803480148315}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Elie Califer, pour soutenir l'amendement n° 647 . ",la parole est à m. elie califer pour soutenir l'amendement n°  .,"[{'label': 'joy', 'score': 0.6574042439460754}]"
Elie Califer,app. SOC,"
Avec cet article liminaire, vous prenez le mauvais chemin. La Guadeloupe, d'où je viens, a connu plusieurs coups de rabot dictés par une logique purement comptable alors que, jour après jour, vous faisiez des cadeaux fiscaux aux entreprises. Quelques mois plus tard, une crise sociale est survenue et vous avez offert les Antilles au Rassemblement national. ",avec cet article liminaire vous prenez le mauvais chemin. la guadeloupe d'où je viens a connu plusieurs coups de rabot dictés par une logique purement comptable alors que jour après jour vous faisiez des cadeaux fiscaux aux entreprises. quelques mois plus tard une crise sociale est survenue et vous avez offert les antilles au rassemblement national.,"[{'label': 'joy', 'score': 0.503349244594574}]"
Elie Califer,app. SOC,"
Si vous n'y prenez garde, ce schéma va se reproduire dans l'hexagone lui-même. ",si vous n'y prenez garde ce schéma va se reproduire dans l'hexagone luimême.,"[{'label': 'joy', 'score': 0.5807609558105469}]"
Elie Califer,app. SOC,"
Alors, un conseil : retirez cet article liminaire. ",alors un conseil  retirez cet article liminaire.,"[{'label': 'joy', 'score': 0.5641204118728638}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Boris Vallaud, pour soutenir l'amendement n° 648 . ",la parole est à m. boris vallaud pour soutenir l'amendement n°  .,"[{'label': 'anger', 'score': 0.4652721881866455}]"
Boris Vallaud,SOC,"
Comme l'ont souligné mes collègues, l'indigence de l'annexe explicative jointe à ce projet de loi nous laisse circonspects. La représentation nationale est-elle correctement informée ? Certainement pas.Plusieurs questions se posent et nous attendons des réponses. Parmi les hypothèses sur lesquelles le Gouvernement se fonde, il y en a une très défavorable concernant l'évolution de la productivité, ce qui laisse supposer que l'exécutif lui-même ne croit pas en l'efficacité de ses réformes économiques.En outre, pourquoi prévoyez-vous une diminution de 11 % de la masse salariale des fonctionnaires ? Est-ce à dire que ceux-ci connaîtront une paupérisation relative et absolue sans précédent ? Le COR souligne dans son rapport les effets d'un gel du point d'indice jusqu'en 2027 et de l'augmentation très réduite qu'il connaîtrait à partir de cette date.Pourquoi présentez-vous certains déficits en euros constants et le PIB en euros courants, ce qui empêche toute comparaison juste ?Autre question importante : pourquoi la part des rémunérations des agents des collectivités territoriales diminue dans l'ensemble des rémunérations, alors que leur taux de cotisation est supérieur à celui d'autres régimes ?Pourquoi avoir fondé vos hypothèses sur une nouvelle méthode comptable, comme le soulignait Jérôme Guedj ? Est-ce à dire que vous ne faites plus confiance au modèle keynesien Mesange de la direction du Trésor qui, il est vrai, aboutit à des prévisions beaucoup plus défavorables que la norme comptable que vous avez retenue ?Pourquoi n'avoir pas pris en compte une augmentation du taux d'emploi des seniors, sur laquelle vous fondez quelques espérances ? Pourquoi, durablement, les femmes ont-elles dans vos prévisions un taux d'emploi inférieur de 8 % à celui des hommes alors que l'égalité salariale est censée être l'une des grandes causes nationales ?Ce que nous aimerions savoir, c'est si le déficit que vous mettez en avant, en fournissant des hypothèses bidon au COR, qui a travaillé comme il le pouvait, justifie réellement les efforts que vous demandez aux Françaises et aux Français.Vous avez dit tout à l'heure, monsieur le ministre de comptes publics, que nous étions des obsédés de l'impôt,… ",comme l'ont souligné mes collègues l'indigence de l'annexe explicative jointe à ce projet de loi nous laisse circonspects. la représentation nationale estelle correctement informée  certainement pas.plusieurs questions se posent et nous attendons des réponses. parmi les hypothèses sur lesquelles le gouvernement se fonde il y en a une très défavorable concernant l'évolution de la productivité ce qui laisse supposer que l'exécutif luimême ne croit pas en l'efficacité de ses réformes économiques.en outre pourquoi prévoyezvous une diminution de   de la masse salariale des fonctionnaires  estce à dire que ceuxci connaîtront une paupérisation relative et absolue sans précédent  le cor souligne dans son rapport les effets d'un gel du point d'indice jusqu'en  et de l'augmentation très réduite qu'il connaîtrait à partir de cette date.pourquoi présentezvous certains déficits en euros constants et le pib en euros courants ce qui empêche toute comparaison juste autre question importante  pourquoi la part des rémunérations des agents des collectivités territoriales diminue dans l'ensemble des rémunérations alors que leur taux de cotisation est supérieur à celui d'autres régimes pourquoi avoir fondé vos hypothèses sur une nouvelle méthode comptable comme le soulignait jérôme guedj  estce à dire que vous ne faites plus confiance au modèle keynesien mesange de la direction du trésor qui il est vrai aboutit à des prévisions beaucoup plus défavorables que la norme comptable que vous avez retenue pourquoi n'avoir pas pris en compte une augmentation du taux d'emploi des seniors sur laquelle vous fondez quelques espérances  pourquoi durablement les femmes ontelles dans vos prévisions un taux d'emploi inférieur de   à celui des hommes alors que l'égalité salariale est censée être l'une des grandes causes nationales ce que nous aimerions savoir c'est si le déficit que vous mettez en avant en fournissant des hypothèses bidon au cor qui a travaillé comme il le pouvait justifie réellement les efforts que vous demandez aux françaises et aux français.vous avez dit tout à l'heure monsieur le ministre de comptes publics que nous étions des obsédés de l'impôt…,"[{'label': 'joy', 'score': 0.7082475423812866}, {'label': 'joy', 'score': 0.5295628309249878}, {'label': 'joy', 'score': 0.5938690304756165}, {'label': 'joy', 'score': 0.5015552043914795}]"
Yaël Braun-Pivet,REN,"
Merci de conclure ! ",merci de conclure ,"[{'label': 'joy', 'score': 0.4884801506996155}]"
Boris Vallaud,SOC,"
…mais vous, vous en créez un et c'est un impôt sur la vie des gens. ",…mais vous vous en créez un et c'est un impôt sur la vie des gens.,"[{'label': 'joy', 'score': 0.4803304970264435}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme Valérie Rabault, pour soutenir l'amendement n° 649 . ",la parole est à mme valérie rabault pour soutenir l'amendement n°  .,"[{'label': 'joy', 'score': 0.5043126344680786}]"
Valérie Rabault,SOC,"
J'invite l'ensemble des collègues qui sont opposés au report de l'âge légal à 64 ans à voter pour la suppression de cet article liminaire. En effet, si l'article liminaire d'un projet de loi de financement de la sécurité sociale est supprimé, le texte n'a plus lieu d'être. ",j'invite l'ensemble des collègues qui sont opposés au report de l'âge légal à  ans à voter pour la suppression de cet article liminaire. en effet si l'article liminaire d'un projet de loi de financement de la sécurité sociale est supprimé le texte n'a plus lieu d'être.,"[{'label': 'anger', 'score': 0.9683519005775452}]"
Maxime Minot,LR,"
Tout tombe ! ",tout tombe ,"[{'label': 'anger', 'score': 0.46380913257598877}]"
Valérie Rabault,SOC,"
Et je pense que nous serons très nombreux à voter ces amendements !Chers collègues de la majorité, quand on lit cet article, il y a vraiment de quoi être stupéfait. C'est un article bidon : il fait référence à une loi de programmation des finances publiques qui n'existe pas, c'est vraiment se moquer de la représentation nationale. On n'a jamais vu une chose pareille ! ",et je pense que nous serons très nombreux à voter ces amendements chers collègues de la majorité quand on lit cet article il y a vraiment de quoi être stupéfait. c'est un article bidon  il fait référence à une loi de programmation des finances publiques qui n'existe pas c'est vraiment se moquer de la représentation nationale. on n'a jamais vu une chose pareille ,"[{'label': 'anger', 'score': 0.6129974126815796}]"
Inaki Echaniz,SOC,"
C'est de la poudre de perlimpinpin ! ",c'est de la poudre de perlimpinpin ,"[{'label': 'joy', 'score': 0.49827924370765686}]"
Valérie Rabault,SOC,"
Comme l'a dit notre collègue Charles de Courson, vous devriez supprimer la dernière colonne du tableau inséré dans cet article puisqu'il fait référence à ce projet de loi de programmation.Je le répète, que toutes celles et tous ceux qui s'opposent au report de l'âge légal à 64 ans votent la suppression de cet article car celle-ci fera tomber tous les autres articles du texte. ",comme l'a dit notre collègue charles de courson vous devriez supprimer la dernière colonne du tableau inséré dans cet article puisqu'il fait référence à ce projet de loi de programmation.je le répète que toutes celles et tous ceux qui s'opposent au report de l'âge légal à  ans votent la suppression de cet article car celleci fera tomber tous les autres articles du texte.,"[{'label': 'anger', 'score': 0.9619320034980774}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Sylvain Carrière, pour soutenir l'amendement n° 1036 . ",la parole est à m. sylvain carrière pour soutenir l'amendement n°  .,"[{'label': 'joy', 'score': 0.6043665409088135}]"
Sylvain Carrière,LFI,"
Deux millions de personnes dans la rue le 19 janvier dernier, 3 millions, le 31 janvier, des dizaines de lycées et facultés bloqués ce matin, sept Français sur dix et 93 % des actifs opposés à votre réforme des retraites : qu'attendez-vous pour enfin écouter le peuple et retirer votre texte ?Par cet amendement, nous réaffirmons notre opposition totale à votre réforme des retraites. Envisagez-vous de poursuivre vos passages en force durant tout le quinquennat ? Vous avez déjà recouru dix fois au 49.3 et voilà que vous utilisez le 47.1. Nous ne pouvons accepter une réforme qui pénaliserait des millions de Françaises et de Français, une réforme décidée par quelques-uns au bénéfice d'une poignée de vos plus grands amis.Émilie, rencontrée samedi sur un marché de ma circonscription, me disait : « Comment veulent-ils que je travaille deux ans de plus alors que je porte des patients toute la journée ? Mon dos est cassé et ils veulent encore repousser mon âge de départ à la retraite ! ». Avec votre réforme, vous souhaitez retirer deux ans de vie aux Françaises et aux Français ! Nous savons pourtant toutes et tous que notre système aujourd'hui excédentaire reviendra à l'équilibre d'ici à 2050, après avoir connu un léger déficit pendant quelques années.Par conséquent, à quoi bon mener une telle réforme ? Souhaitez-vous offrir un nouveau cadeau à vos amis les plus fortunés ? Entendez-vous une nouvelle fois faire les poches des jeunes, des salariés, des retraités, pour protéger vos amis les puissants ? ",deux millions de personnes dans la rue le  janvier dernier  millions le  janvier des dizaines de lycées et facultés bloqués ce matin sept français sur dix et   des actifs opposés à votre réforme des retraites  qu'attendezvous pour enfin écouter le peuple et retirer votre texte par cet amendement nous réaffirmons notre opposition totale à votre réforme des retraites. envisagezvous de poursuivre vos passages en force durant tout le quinquennat  vous avez déjà recouru dix fois au  et voilà que vous utilisez le  nous ne pouvons accepter une réforme qui pénaliserait des millions de françaises et de français une réforme décidée par quelquesuns au bénéfice d'une poignée de vos plus grands amis.émilie rencontrée samedi sur un marché de ma circonscription me disait  « comment veulentils que je travaille deux ans de plus alors que je porte des patients toute la journée  mon dos est cassé et ils veulent encore repousser mon âge de départ à la retraite  ». avec votre réforme vous souhaitez retirer deux ans de vie aux françaises et aux français  nous savons pourtant toutes et tous que notre système aujourd'hui excédentaire reviendra à l'équilibre d'ici à  après avoir connu un léger déficit pendant quelques années.par conséquent à quoi bon mener une telle réforme  souhaitezvous offrir un nouveau cadeau à vos amis les plus fortunés  entendezvous une nouvelle fois faire les poches des jeunes des salariés des retraités pour protéger vos amis les puissants ,"[{'label': 'anger', 'score': 0.9815297722816467}, {'label': 'joy', 'score': 0.5608516335487366}, {'label': 'anger', 'score': 0.5518723726272583}]"
Sylvain Carrière,LFI,"
Nous vous donnons rendez-vous demain – et samedi encore – pour un nouveau déferlement dans les rues de tout le pays. ",nous vous donnons rendezvous demain – et samedi encore – pour un nouveau déferlement dans les rues de tout le pays.,"[{'label': 'joy', 'score': 0.8223730325698853}]"
Sylvain Carrière,LFI,"
Alors, messieurs les ministres, qu'attendez-vous pour enfin retirer votre réforme injuste et inutile ? ",alors messieurs les ministres qu'attendezvous pour enfin retirer votre réforme injuste et inutile ,"[{'label': 'joy', 'score': 0.48456573486328125}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Matthias Tavel, pour soutenir l'amendement n° 1070 . ",la parole est à m. matthias tavel pour soutenir l'amendement n°  .,"[{'label': 'joy', 'score': 0.4917804002761841}]"
Matthias Tavel,LFI,"
Oui, vous voulez voler deux ans de vie aux Français. Vous voulez faire des deux meilleures années de retraite les deux pires années de travail, en maintenant en activité celles et ceux qui n'en peuvent déjà plus. Vous voulez imposer deux ans de plus à la grande majorité des Français. Pour les femmes, travailler jusqu'à 64 ans sera une double, une triple, un quadruple peine, elles qui subissent souvent un temps partiel contraint, mal payé, sous-payé.Votre réforme est non seulement profondément injuste mais aussi illégitime puisqu'à peine 28 % des Français ont voté pour l'un des trois candidats à l'élection présidentielle ayant inscrit à son programme le report de l'âge légal : M. Macron, Mme Pécresse et, honte à vous, M. Zemmour dont vous reprenez aujourd'hui l'une des propositions.Cette réforme est en outre mensongère, malhonnête et insincère, comme nous le voyons avec cet article liminaire. Il s'appuie sur une loi de programmation des finances publiques qui n'existe pas puisque le texte a été rejeté ici même. Vous êtes des hypocrites : vous prétendez défendre la répartition alors qu'il y a trois ans, vous vouliez la faire passer par-dessus bord ; vous prétendez défendre la pénibilité alors qu'il y a cinq ans à peine vous avez supprimé l'essentiel des critères qui la définissaient. Vous élaborez vos prévisions de déficit à partir d'un gigantesque plan d'austérité dans la fonction publique, reposant sur un gel pendant cinq ans du point d'indice et des suppressions de postes, mais comme vous n'osez pas l'assumer, notre assemblée ne dispose pas de tous les éléments nécessaires pour être éclairée.Bref, votre réforme est profondément injuste et injustifiée. La seule chose qui la motive est votre volonté de faire un nouveau cadeau aux plus riches et aux actionnaires, de financer les baisses d'impôt pour les grandes entreprises que vous avez fait passer grâce au 49.3 à l'automne dernier, et d'obéir à la huitième injonction de la Commission européenne. ",oui vous voulez voler deux ans de vie aux français. vous voulez faire des deux meilleures années de retraite les deux pires années de travail en maintenant en activité celles et ceux qui n'en peuvent déjà plus. vous voulez imposer deux ans de plus à la grande majorité des français. pour les femmes travailler jusqu'à  ans sera une double une triple un quadruple peine elles qui subissent souvent un temps partiel contraint mal payé souspayé.votre réforme est non seulement profondément injuste mais aussi illégitime puisqu'à peine   des français ont voté pour l'un des trois candidats à l'élection présidentielle ayant inscrit à son programme le report de l'âge légal  m. macron mme pécresse et honte à vous m. zemmour dont vous reprenez aujourd'hui l'une des propositions.cette réforme est en outre mensongère malhonnête et insincère comme nous le voyons avec cet article liminaire. il s'appuie sur une loi de programmation des finances publiques qui n'existe pas puisque le texte a été rejeté ici même. vous êtes des hypocrites  vous prétendez défendre la répartition alors qu'il y a trois ans vous vouliez la faire passer pardessus bord ; vous prétendez défendre la pénibilité alors qu'il y a cinq ans à peine vous avez supprimé l'essentiel des critères qui la définissaient. vous élaborez vos prévisions de déficit à partir d'un gigantesque plan d'austérité dans la fonction publique reposant sur un gel pendant cinq ans du point d'indice et des suppressions de postes mais comme vous n'osez pas l'assumer notre assemblée ne dispose pas de tous les éléments nécessaires pour être éclairée.bref votre réforme est profondément injuste et injustifiée. la seule chose qui la motive est votre volonté de faire un nouveau cadeau aux plus riches et aux actionnaires de financer les baisses d'impôt pour les grandes entreprises que vous avez fait passer grâce au  à l'automne dernier et d'obéir à la huitième injonction de la commission européenne.,"[{'label': 'anger', 'score': 0.7111340165138245}, {'label': 'anger', 'score': 0.5644194483757019}, {'label': 'anger', 'score': 0.5639021396636963}, {'label': 'anger', 'score': 0.5354552268981934}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Antoine Léaument, pour soutenir l'amendement n° 1092 . ",la parole est à m. antoine léaument pour soutenir l'amendement n°  .,"[{'label': 'joy', 'score': 0.644124448299408}]"
