intervenant,parti,intervention
Sylvain Maillard,REN,"
Nous bénéficions, en France, du système de retraite le plus avantageux de toute l'Europe. C'est un motif de fierté, mais nous devons avoir le courage d'adopter les réformes nécessaires pour le préserver. "
Jérôme Guedj,SOC,"
Vous voulez punir les Français ! "
Sylvain Maillard,REN,"
L'ADN de notre majorité sera toujours le respect non seulement de la valeur travail, mais également de l'équité et de la justice sociale. "
Clémence Guetté,LFI,"
Le fameux « en même temps » ! "
Pierre Dharréville,GDR,"
Que de sornettes ! Le mieux, c'est que vous y croyez ! "
Sylvain Maillard,REN,"
Ce texte doit donner lieu à un vrai débat démocratique… "
Clémence Guetté,LFI,"
Vous l'empêchez avec vos manœuvres ! "
Sylvain Maillard,REN,"
…et faire l'objet de propositions d'amélioration réalistes. Il y va de la sauvegarde de notre système de retraite par répartition. "
Yaël Braun-Pivet,REN,"
La suite de la discussion est renvoyée à la prochaine séance. "
Yaël Braun-Pivet,REN,"
L'ordre du jour appelle la suite de la discussion du projet de loi de financement rectificative de la sécurité sociale pour 2023 (n° 760, 814, 771, 819). "
Yaël Braun-Pivet,REN,"
La parole est à Mme Marine Le Pen. "
Marine Le Pen,RN,"
À l'image de ses prédécesseurs, droite dans ses bottes malgré les millions de Français qui y sont opposés, la Première ministre ne vient même pas présenter aujourd'hui à la représentation nationale sa nouvelle réforme des retraites.Persuadés que le soutien de l'ensemble de la gauche – la NUPES en tête – à Emmanuel Macron lors du second tour de l'élection présidentielle vous donne un blanc-seing pour mettre en œuvre l'une des mesures phares de sa campagne, vous arrivez donc devant cette assemblée, pourtant sans majorité, pour présenter cette réforme inique. "
Sylvain Maillard,REN,"
Unique ! "
Marine Le Pen,RN,"
Cette réforme est de surcroît dictée par votre volonté de complaire à la Commission européenne, laquelle souhaite que la France se mette au garde-à-vous et applique les coupes budgétaires qu'elle préconise chaque année, prétendument pour assainir ses finances – évidemment au détriment des Français, qui, toujours, sont les victimes de votre lâcheté et de votre soumission. Une personne née en 1973 aura vu, en douze ans, quatre années de travail supplémentaires ajoutées à sa carrière.Aujourd'hui, dans l'hémicycle, les alliés du second tour se font désormais face. Nous nous retrouvons avec, d'un côté, un gouvernement qui propose une réforme de casse sociale, aussi inutile qu'injuste – j'y reviendrai – et de l'autre une gauche irresponsable et inconséquente.Finalement, qui parle à nos compatriotes,… "
Danielle Simonnet,LFI,"
Pas vous ! "
Marine Le Pen,RN,"
…qui parle de justice sociale, qui parle de l'avenir de notre pays ? "
Danielle Simonnet,LFI,"
Pas vous ! "
Marine Le Pen,RN,"
Car les retraites ne sont pas qu'une question budgétaire, comme voudrait nous le faire croire le Gouvernement. Elles doivent refléter le choix de société que nous promouvons, résolument tourné vers l'avenir. Comment permettre non seulement aux retraités d'aujourd'hui mais aussi à ceux de demain – c'est-à-dire les jeunes, les actifs – de profiter de leur retraite en bonne santé après une vie de travail ? Voilà la question qui nous est collectivement posée et à laquelle vous ne répondez en aucune façon.Non, votre réponse n'est pas à la hauteur du sujet. Pire, elle est paresseuse. Résumons votre message aux Français : « Vous coûtez trop cher, il faut faire des efforts et travailler deux ans de plus pour équilibrer les comptes publics ». "
Sylvain Maillard,REN,"
Un peu caricatural ! "
Marine Le Pen,RN,"
Quelle imagination ! Et quelle audace quand on a soi-même porté la dette publique à un niveau jamais observé, par des choix politiques hasardeux "
Marine Le Pen,RN,"
dont le ruineux bouclier tarifaire, rendu nécessaire par votre refus de quitter le système tarifaire du marché européen de l'électricité, est le plus bel exemple.Quant à vous, collègues de la gauche de l'hémicycle, qui avez fait élire Emmanuel Macron, vous répondez, ou plutôt éructez : « À bas les riches et longue vie au droit à la paresse ! » "
Danielle Simonnet,LFI,"
Vous êtes ridicule ! "
François Piquemal,LFI,"
La paresse, ça vous connaît ! "
Marine Le Pen,RN,"
Vous avez montré, tout au long de ce débat, par vos outrances et par votre amateurisme, que vous n'aviez d'opposition que le nom.De notre côté, nous répondons : non à la fatalité, non à l'avilissement promis par ce gouvernement, non à la gabegie et à la déliquescence promises par l'extrême gauche.Oui, les Français semblent, à cause de votre majorité, condamnés à vivre éternellement la tragi-comédie d'une énième réforme des retraites prétendument inéluctable, qui rogne toujours plus leurs acquis sociaux. Cette tragi-comédie, le président du COR – Conseil d'orientation des retraites – lui-même l'a dénoncée, en rappelant que « les dépenses de retraite ne dérapent pas, elles sont relativement maîtrisées ». "
Laurent Croizier,MODEM,"
Et les recettes ? "
Marine Le Pen,RN,"
Tout autre est la vision, positive et de long terme, que nous proposons aux Français. Loin de l'escroquerie intellectuelle consistant à pointer du doigt des dépenses plutôt stables en réalité, nous proposons une réforme pérenne, efficace, soutenable et juste socialement en nous appuyant sur les recettes dont votre incompétence a privé les Français. "
Damien Maudet,LFI,"
C'est vous qui défendiez la retraite à 65 ans en 2007 ! "
Marine Le Pen,RN,"
Permettez-moi d'en rappeler les principes. Le premier d'entre eux est le suivant : travailler tôt, c'est travailler plus dur donc partir plus tôt. En effet, le taux d'activité des jeunes Français – 35 % – est inférieur de dix points à celui de l'OCDE, l'Organisation de coopération et de développement économiques, qui s'élève à 45 %, ce qui entraîne des pertes de recettes sociales et fiscales ainsi que des difficultés de recrutement pour des milliers d'entreprises.Il y a donc urgence à inciter nos jeunes à entrer dans le monde du travail en échange du principe 60 ans, 40 annuités, dont bénéficieraient tous les jeunes ayant démarré leur carrière jusqu'à 20 ans. Ensuite, âge et durée de cotisation seraient progressivement portés pour tous à un plafond de 62 ans et 42 annuités selon l'âge d'entrée dans la vie active.Vous ne répondez en rien à ce problème pourtant majeur pour l'économie française. Votre réforme risque au contraire de dissuader nombre de jeunes – cette France des BTS, les brevets de technicien supérieur, qui concourt tant à la prospérité nationale – d'entrer tôt sur le marché du travail.Ces jeunes, nous ne voulons pas les punir en leur promettant une vie professionnelle sans fin mais bien les épauler, les revaloriser, les soutenir sans réserve. De surcroît, votre énorme omission, c'est la baisse annoncée des pensions, soit par la multiplication des pensions avec décote, soit par la suppression des pensions avec surcote que touchaient les Français qui choisissaient de travailler au-delà de 62 ans – et je ne parle pas des femmes en général, et des mères de famille en particulier, grandes sacrifiées de votre réforme.Le deuxième principe, c'est le maintien des régimes spéciaux et des conditions spécifiques pour les professions des catégories actives et superactives. "
Alexis Corbière,LFI,"
Vous avez prôné l'inverse pendant des années ! "
Marine Le Pen,RN,"
C'est le cas de la police, qui manque cruellement de bras, mais aussi des marins-pêcheurs et des pompiers. S'agissant de la RATP, déjà exsangue, il n'est pas sûr que cette annonce permette de résoudre les difficultés de recrutement et le chaos qu'elles engendrent pour les Parisiens.Votre réforme fait tout l'inverse : elle aggravera les tensions en matière de recrutement dans des services publics auxquels nos compatriotes sont particulièrement attachés et dont ils bénéficient tous, surtout les plus modestes, chaque jour.Le troisième principe, c'est le lancement d'une grande politique nataliste. Qui peut croire qu'une réforme qui ignore la relance de la natalité peut être crédible, alors même qu'il s'agit du fondement du système par répartition ? "
Paul Vannier,LFI,"
Personne n'y croit ! "
Marine Le Pen,RN,"
Or, en 2021, le solde naturel, c'est-à-dire l'accroissement de la population française hors immigration, n'a été que de 50 000 : c'est le chiffre le plus bas depuis 1945 et il s'est effondré à toute allure depuis quinze ans, puisqu'il était encore de 300 000 en 2006. "
Jocelyn Dessigny,RN,"
Eh oui, n'en déplaise à nos collègues de la NUPES ! "
Marine Le Pen,RN,"
C'est pour cette raison que nous proposons une pleine part fiscale dès le deuxième enfant et, pour les jeunes couples, des prêts à taux zéro transformés en subvention à la naissance du troisième enfant. "
Erwan Balanant,MODEM,"
Ce n'est pas une campagne présidentielle ! "
Marine Le Pen,RN,"
Je le répète : sans relance de la natalité, notre système par répartition est condamné. Or vous ne proposez rien en la matière.Notre quatrième principe consiste à proposer un projet d'investissement dans l'économie nationale au lieu d'expliquer aux Français que leur seul horizon est de se serrer toujours plus la ceinture.La productivité, c'est-à-dire la richesse créée pour chaque heure de travail, stagne depuis 2017 en France. En 2022, elle a même reculé – une première depuis cinquante ans – de trois points. C'est le reflet de notre désindustrialisation. Car, pour l'essentiel, c'est dans l'industrie que se trouve la productivité des emplois, pilier fondamental du financement de notre modèle social.Avec l'erreur mortelle que constitue la soumission de notre prix de l'électricité au marché européen, vous avez privé les Français d'une occasion historique de réindustrialiser massivement et rapidement notre pays. "
Marine Le Pen,RN,"
Nul ne peut contester que si notre électricité était toujours vendue à 42 euros le mégawattheure, la France serait, au moment où nous nous parlons, l'eldorado énergétique et donc économique que l'ensemble de l'Europe industrielle chercherait à rejoindre. "
Marine Le Pen,RN,"
Vous avez préféré la ruine énergétique de nos entreprises et des particuliers et l'ubérisation de la société, des livreurs Deliveroo aux chauffeurs de VTC, les véhicules de tourisme avec chauffeur. Ce modèle, dont vous vous réjouissez en toutes circonstances en évoquant des chiffres du chômage biaisés signifie en réalité, dans le détail, la précarité généralisée des travailleurs et, budgétairement, la mort programmée de notre système de retraite par répartition.Quant aux investissements nécessaires dans l'économie nationale, le fonds de réserve pour les retraites, dont le rendement annuel s'élève à 5 % depuis 2010, permettrait de dégager des ressources supplémentaires pour financer les pensions. C'est pour cette raison que nous proposons de développer intelligemment ce levier en orientant les investissements dans l'économie nationale. Cela permettrait à l'évidence de gérer la dizaine d'années de déficits conjoncturels liés à l'arrivée à la retraite de la génération du baby-boom.Oui, ce projet a un coût, que nous avons précisément chiffré : moins de 10 milliards par an pour les mesures d'âge et de durée de cotisation. Mais en contrepartie, il crée de nouvelles recettes : développement du fonds de réserve, taxe sur les superdividendes, sur les superprofits et sur les rachats d'actions, augmentation des recettes permises par les gains de productivité et la hausse du taux d'activité des jeunes. "
Matthias Tavel,LFI,"
La retraite à 67 ans ! "
Marine Le Pen,RN,"
Enfin, grâce à notre projet, nous assisterions au retour d'un État stratège capable de rendre l'économie nationale apte à financer notre modèle de protection sociale grâce à des investissements productifs coupablement négligés depuis quarante ans de mondialisme.Vous l'aurez compris, trois maîtres-mots guident notre projet : justice, natalité, et productivité. Tel est le chemin que je souhaite pour la France. "
Yaël Braun-Pivet,REN,"
La parole est à M. François Ruffin. "
François Ruffin,LFI,"
Vous faites pitié. "
Jocelyn Dessigny,RN,"
Vous aussi ! "
François Ruffin,LFI,"
Oui, messieurs les ministres, mesdames et messieurs les députés, et monsieur le Président ici absent, vous faites pitié. Voilà le sentiment que vous m'inspirez.Notre pays vient de traverser la crise du covid-19 ; nous en sortons usés, fatigués, exaspérés. Juste après, nous plongeons dans la guerre en Ukraine, avec l'essence à plus de 2 euros et les factures d'énergie qui bondissent. Dans ce tunnel, quelle lumière allumez-vous pour les Français ? Aucune.Quelle espérance ? Quel projet ? Quel désir d'avenir ? Rien de rien. Juste cette petite chose à la fois banale, mesquine et étriquée : une réforme des retraites. Quelle médiocrité ! Vous faites pitié. "
François Ruffin,LFI,"
À l'Élysée, Emmanuel Macron vante sa « grande ambition réformatrice »… Quelle magnifique ambition, en effet ! C'est pourtant très concret. Jeudi, j'étais à Dieppe et j'y ai retrouvé Véronique, une auxiliaire de vie … "
Rodrigo Arenas,LFI,"
Il parle des gens que vous sacrifiez ! "
François Ruffin,LFI,"
…âgée de 61 ans qui, à force de porter des personnes âgées, souffre d'une hernie ; elle suit des tas de traitements – aiguilles, cachets et ostéopathie –,… "
Jocelyn Dessigny,RN,"
Et comment allez-vous lui expliquer que vous avez refusé de voter la motion référendaire ? "
François Ruffin,LFI,"
…et bien qu'elle aime son métier, il est devenu pour elle une quotidienne douleur. Nous avons fait la simulation sur mon ordinateur : elle prend quinze mois à cause de ses trois enfants et de sa carrière hachée. À toutes les Véronique qui ont tenu le pays debout, aux infirmières, aux caissières et aux manutentionnaires, à cette France qui se lève tôt et qui va au boulot, qu'offrez-vous ? Deux ans. Deux ans ferme ! Formidable ambition ! Vous faites pitié. "
Sébastien Jumel,GDR,"
Ruffin a raison ! "
François Ruffin,LFI,"
Que serait une véritable ambition réformatrice ? L'hôpital, pilier de l'État social, est en lambeaux ; l'école, pilier de la République, recrute ses hussards noirs en job dating ! "
Bruno Millienne,MODEM,"
Et que proposez-vous ? "
François Ruffin,LFI,"
Qu'on les remette sur pied, l'un et l'autre, voilà une véritable ambition réformatrice. "
Sébastien Chenu,RN,"
Il ne fallait pas voter Macron ! "
François Ruffin,LFI,"
Surtout la France, comme l'humanité, doit affronter son plus terrible défi : le choc climatique. Il nous faut bouleverser notre agriculture, nos logements, notre industrie et nos déplacements. Voilà qui réclame une véritable ambition réformatrice ! "
François Ruffin,LFI,"
Et pour réussir ce pari à la fois prodigieux et périlleux, nous devons rassembler et canaliser toutes les énergies du pays, tous les capitaux, toute la main d'œuvre, tous les savoir-faire et toutes les intelligences. Mais au lieu de cela, que faites-vous ? Vous bloquez le pays, vous l'embourbez – tout ça pour quoi ? Pour économiser 0,1 point de PIB ! Voilà votre priorité ! Vous êtes dérisoires ! "
Sophie Taillé-Polian,ECO,"
Eh oui ! "
Laurent Croizier,MODEM,"
Ce n'est pas bien d'instrumentaliser la souffrance des Français, monsieur Ruffin ! "
François Ruffin,LFI,"
Et dire que Gérald Darmanin espère ainsi entrer dans l'histoire ! N'a-t-il pas déclaré : « Nous ne travaillons pas pour le journal, mais pour les livres d'histoire » ? Pensez-vous qu'Édouard Balladur soit entré dans les livres d'histoire ? Ou François Fillon– ses costumes exceptés ? "
François Ruffin,LFI,"
Cette réforme est d'une telle banalité. Vous faites pitié. "
François Ruffin,LFI,"
Vous prétendez entrer dans les livres d'histoire mais vous ne resterez même pas dans les livres de comptabilité,… "
Bruno Millienne,MODEM,"
Vous non plus ! "
François Ruffin,LFI,"
…sinon au titre des naufrages financiers. Car en vérité, malgré vos mines sérieuses, vous ruinez le pays : 169 milliards, voilà quel est notre déficit commercial qui bat tous les records ; 169 milliards, du jamais vu ! Ce n'est plus un trou, c'est un gouffre gigantesque : 169 milliards, c'est le prix de notre dépendance géante à l'égard de la Chine et de l'Arabie. Résorber cette hémorragie et recouvrer ainsi notre indépendance, voilà qui serait une véritable ambition réformatrice. Mais non, à la place, nous avons droit à votre chipotage et à votre bricolage sur les index seniors et sur les comptes de pénibilité. C'est vous les pénibles ! "
François Ruffin,LFI,"
M. Bruno Thatcher le répétait ce matin : « Il n'y a pas d'alternative crédible à la réforme. » "
Jérôme Guedj,SOC,"
M. Tina Le Maire ! There is no alternative : il n'y a pas d'autre choix… "
François Ruffin,LFI,"
Pas d'alternative vraiment ? Le jour même où cette réforme était présentée en conseil des ministres, le 10 janvier, le journal patronal Les Échos titrait sur les dividendes records pour le CAC40, soit 80 milliards d'euros en 2022. Du jamais vu, le record de tous les temps. "
François Ruffin,LFI,"
Et les deux tiers de ces 80 milliards ne vont pas aux 10 % les plus riches, pas même aux 1 % les plus riches, mais aux 0,1 % les plus riches, ceux à qui vous ne toucherez pas alors que vous toucherez à Maryvonne, cette femme de ménage qui doit porter des bandages aux poignets et qui va prendre deux ans de plus. "
François Ruffin,LFI,"
Au service de qui êtes-vous ? "
François Ruffin,LFI,"
C'est ainsi que le syndicat des cadres vous a interpellé en commission, monsieur le ministre du travail : selon lui, la part revenant aux salariés dans la valeur ajoutée a baissé de 59 % à 55 % entre 1997 et 2019, soit une diminution de quatre points, pendant que la part revenant aux actionnaires a triplé, passant de 5 % à 15 % ! Et le même syndicat vous a demandé si vous meniez votre politique pour les salariés français ou pour les fonds de pension anglo-saxons. "
François Ruffin,LFI,"
Vous faites pitié. "
Laurent Jacobelli,RN,"
Malgré cela, vous avez fait voter Macron ! "
François Ruffin,LFI,"
Vous dirigez la France, notre France avec ses siècles d'histoire, avec ses cathédrales et ses révolutions, mais uniquement pour vos petites mesures, pour vos petits calculs, pour votre petite politique, avec votre petitesse qui enlise la nation dans la boue du dégoût ! Où est la grandeur ? Elle demeure, mais chez les citoyens et les citoyennes qui soignent et qui enseignent, qui conduisent et qui construisent, chez les travailleurs et les travailleuses qui maintiennent le pays debout malgré vous ! La grandeur est chez ces Français et ces Françaises qui ne réclament que décence et bon sens, et qui nous disent : « Nous voulons vivre de notre travail présent, c'est-à-dire de notre salaire, puis de notre travail passé, c'est-à-dire de la retraite. » "
Jocelyn Dessigny,RN,"
Vous les avez trahis tout à l'heure en votant contre le référendum ! "
François Ruffin,LFI,"
La grandeur est chez ces gens qui ne sont rien, comme vous dites au Gouvernement, mais qui font tout ! "
François Ruffin,LFI,"
Ces gens qu'aujourd'hui comme hier vous négligez, vous méprisez, vous écrasez. "
Jocelyn Dessigny,RN,"
Et vous, vous les trahissez ! "
François Ruffin,LFI,"
Vous faites pitié. Mais vous êtes des dangers. Alors que tous les syndicats unis, sept Français sur dix, neuf salariés sur dix et 1 à 3 millions de manifestants vous disent « non », et que même des patrons dans l'hôtellerie ou dans le bâtiment ainsi que des artisans vous disent « non », vous disant que c'est une bêtise, vous forcez malgré l'opinion, vous passez sur le corps social. Oui, vous êtes alors un danger pour le pays et pour sa démocratie. "
François Ruffin,LFI,"
Oui, vous êtes des extrémistes. "
François Ruffin,LFI,"
Vous faites par votre arrogance un mal immense à notre France divisée en trois blocs – on le voit dans cet hémicycle – alors qu'il faudrait la réparer, la soigner et la ressouder. Au lieu de quoi, vous la brutalisez, vous la déchirez pour des broutilles. Vous faites pitié. "
Emeric Salmon,RN,"
C'est bien pourquoi il aurait fallu un référendum ! "
François Ruffin,LFI,"
Vous n'entrerez dans aucun livre d'histoire car vous êtes déjà inexistants au présent, vos mots sont déjà morts. Qui ici se souvient de Heinrich Brüning ou de Camille Chautemps ? Je vois vos regards vides, chers collègues, messieurs les ministres – vous regarderez dans Wikipédia. On ne se souvient, pour le pire ou pour le meilleur, que de leurs successeurs. Bientôt, vous serez balayés, emportés par une histoire redevenue tragique, par une histoire qui va basculer dans le cauchemar ou dans l'espoir. "
Sébastien Delogu,LFI,"
Exactement ! "
François Ruffin,LFI,"
Nous sommes là, nous, pour que l'histoire bascule vers l'espoir, et c'est à nous de rallumer la lumière au bout du tunnel, c'est à nous de conjuguer l'effort pour relever un pays que depuis quarante ans vous rétrécissez et vous découragez. Nous sommes là pour conjuguer effort et réconfort, la joie venant après la peine. Nous sommes là pour renouer avec la grande histoire du mouvement ouvrier. Quelle est-elle ? C'est à la fois la fierté du travail… "
Arthur Delaporte,SOC,"
Oui ! "
François Ruffin,LFI,"
…et la dignité par le travail, c'est gagner sa vie en travaillant tout en libérant du temps hors travail. À la fin du travail des enfants, vos ancêtres sur vos bancs, chers collègues, criaient à la paresse et à la perte de compétitivité. "
Clémence Guetté,LFI,"
C'était un contresens ! "
François Ruffin,LFI,"
Cette grande histoire, c'est aussi le congé maternité, le dimanche chômé, puis le samedi à l'anglaise, les congés payés, et c'est bien sûr la retraite, cette nouvelle étape de la vie, avec enfin, en 1982, la retraite à 60 ans sans décote. "
François Ruffin,LFI,"
À cette époque, une vaste majorité des Français interrogés pensait que la retraite serait bientôt fixée à 55 ans parce que c'était le sens de l'histoire. Et c'est avec cette histoire que nous devons renouer, celle où le travail nécessaire, le travail qui émancipe, se marie avec le droit au repos, le droit aux loisirs et à l'oisiveté. "
Jocelyn Dessigny,RN,"
Dommage qu'entre-temps la gauche ait tout détricoté ! "
Clémence Guetté,LFI,"
En marche… arrière ! "
François Ruffin,LFI,"
Que travail et repos se mêlent, s'épousent, pour accoucher d'un bel et immortel enfant : le bonheur ! "
François Ruffin,LFI,"
Mercredi dernier, c'était le premier jour de retraite pour Jean-Marc. Qu'a-t-il fait ? Il s'est rendu au ping-pong, où le président du club l'a aussitôt harponné pour qu'il devienne formateur et encadre les jeunes. Et puis il a rejoint le club de randonnée : 14 kilomètres – ouf ! c'était dur pour une première, il a souffert. Voilà le bonheur, celui de s'inscrire pour une rando ou de traverser la France à vélo ou encore de préparer un gâteau au chocolat. Voilà le bonheur, celui de prendre des cours de zumba ou d'emmener sa petite-fille à la gym. C'est le bonheur que de n'être pas usé, épuisé, essoré par le travail, mais d'avoir encore de belles années et de belles journées en pleine santé pour en profiter. Le bonheur ! "
François Ruffin,LFI,"
Le bonheur ! Mais à entendre tous vos discours racornis, vieillis, tristes et sinistres, le bonheur demeure une idée neuve ici. Vous faites pitié ! "
Yaël Braun-Pivet,REN,"
La parole est à M. Stéphane Viry. "
Stéphane Viry,LR,"
« Nous y sommes », avez-vous dit à seize heures vingt-trois, monsieur le ministre du travail. En effet, nous y sommes, mais c'est mal emmanché. Pour notre part, nous sommes favorables à ce que la question des retraites soit abordée dans notre hémicycle car c'est une question essentielle, un élément fondamental du contrat social qui unit les Français, et une préoccupation première pour nos concitoyens. Le groupe Les Républicains, d'inspiration gaulliste,… "
Frédéric Boccaletti,RN,"
Et ils ne veulent pas d'un référendum ! "
Stéphane Viry,LR,"
…a le sens de l'État et l'exigence du pacte républicain. Oui, il convient de se pencher sur la question de notre système de retraite parce qu'il demeure injuste et fragile. Qui peut se satisfaire des petites pensions de retraite versées à certains de nos concitoyens ? Qui peut admettre que des carrières professionnelles soient mal considérées en termes de liquidation de retraite ? Qui peut taire les inégalités de traitement entre salariés dans un même pays ? "
Patrick Hetzel,LR,"
Il a raison ! "
Stéphane Viry,LR,"
Oui, mes chers collègues, il nous faut réformer le système de retraite ! Quelle réponse apporte le Gouvernement ? Il propose un texte financier, en l'occurrence ce projet de loi de financement rectificative de la sécurité sociale – PLFRSS –, ce qui réduit et contraint la capacité d'intervention parlementaire et ne traite pas en réalité de la question des retraites en tant que telle puisqu'il n'aborde pas concrètement les retraites et les retraités. Ce projet de loi de financement rectificative de la sécurité sociale est dépourvu de corps législatif. Il ne soulève pas de question majeure : il ne contient pas grand-chose, par exemple, sur l'emploi des seniors. "
Thibault Bazin,LR,"
Il a raison ! "
Stéphane Viry,LR,"
Il est dommage qu'il ne s'agisse que d'un texte financier alors que la question des retraites est consubstantiellement liée à celle de l'emploi et à celle du travail. "
Patrick Hetzel,LR,"
Eh oui ! "
Stéphane Viry,LR,"
Il eût été nécessaire de s'interroger sur la place du travail dans notre modèle économique et social, d'examiner la situation réelle et d'évaluer la capacité à dégager de la valeur et à la partager, et de s'interroger pour proposer d'autres parcours professionnels. En effet, on ne peut pas évoquer la question des retraites, en l'occurrence notre système de retraite par répartition, si on ne s'intéresse pas à la situation du travail dans notre pays. "
Stéphane Viry,LR,"
Or cette étape, monsieur le ministre du travail, fait ici défaut. Vous savez conduire des Grenelle, des Ségur, des conventions citoyennes, de même que vous savez mener des consultations citoyennes. Pourquoi diable n'avez-vous pas voulu que la France se regarde droit dans les yeux au sujet du travail avant d'aborder des retraites ? "
Emeric Salmon,RN,"
Il fallait un référendum ! "
Stéphane Viry,LR,"
Et que dire, au-delà de ce texte financier étriqué qui en oublie la question du travail, du calendrier baroque que vous nous imposez au regard de la cohésion sociale et nationale en ce début d'année 2023, alors que l'inflation submerge les Français et que le prix des énergies, qu'il s'agisse de l'électricité ou des carburants, les hante, et qu'il y a objectivement une crise sociale dans notre pays. C'est dans ces conditions que vous les confrontez à la question complexe des retraites. Vous le savez, messieurs les ministres : notre groupe considère que la question des retraites est essentielle, mais que la réforme que vous proposez est un acte manqué ! "
Pierre Dharréville,GDR,"
Ah ! "
Laurent Croizier,MODEM,"
Vous le direz à vos amis sénateurs ! Ils vont être contents ! "
Stéphane Viry,LR,"
Votre projet de loi est insuffisant et, en tout état de cause, à la fois perfectible et injuste. Et nous allons, au cours des débats, nous employer à le démontrer afin qu'il soit corrigé. Nous n'avons pas le dessein de bloquer les institutions en provoquant le chaos dans cette assemblée : il s'agit de faire le nécessaire afin d'aboutir à une réforme utile et juste pour les Françaises et les Français. "
Pierre Dharréville,GDR,"
Ils n'en veulent pas ! "
Stéphane Viry,LR,"
Notre système par répartition est une institution pour nous tous, chers collègues. Dire le contraire ou ne pas prendre ses responsabilités serait inconséquent à l'égard de nos concitoyens et même très dangereux pour les plus démunis car si le régime par répartition intergénérationnel venait à s'écrouler, il appartiendrait aux Français de se débrouiller par eux-mêmes pour assumer leur propre retraite par l'épargne accumulée pendant leur période de travail, et les plus démunis seraient encore davantage en difficulté. On doit sauvegarder le système par répartition, mais en regardant la réalité en face.Vous devez dès lors, messieurs les ministres, affronter les débats parlementaires avec respect, bon sens, équité et décence. Avec respect, dis-je, parce qu'il faut aller plus loin pour l'emploi des seniors par l'aménagement des fins de carrière et par une meilleure prise en compte de la pénibilité. Avec bon sens, parce qu'il faut permettre aux personnes ayant effectué des carrières longues de partir avant l'âge légal quand les 172 trimestres sont validés, condition indispensable pour que les députés Les Républicains vous accompagnent sur ce texte. Avec équité, parce qu'il faut donner des droits supplémentaires aux femmes, aux couples, aux aidants, aux veuves et aux conjoints collaborateurs, mais aussi en alignant les régimes spéciaux et de la fonction publique sur le régime privé. Avec décence, enfin, car il faut assurer à toutes et à tous la pérennité financière du système.Cette réforme n'est pas la nôtre, mais nous chercherons à la corriger pour la rendre plus juste. La balle est dans votre camp, messieurs les ministres, pour obtenir éventuellement nos votes. "
Yaël Braun-Pivet,REN,"
La parole est à M. Philippe Vigier. "
Philippe Vigier,MODEM,"
La question qui nous est posée est simple : voulons-nous, oui ou non, conserver un système de retraite par répartition ? "
Sylvain Maillard,REN,"
Eh oui ! "
Philippe Vigier,MODEM,"
Chaque parti de gouvernement, pour y avoir été confronté en 1995, en 2003, en 2010 ou encore en 2015, connaît bien les défis qu'il faut relever pour cela. Le premier d'entre eux est le défi démographique. Chacun sait qu'il n'y a plus que 1,7 cotisant pour chaque retraité et que ce ratio tombera à 1,5 dans quelques années. "
Sylvain Maillard,REN,"
Eh oui ! "
Emeric Salmon,RN,"
Et la productivité ? "
Philippe Vigier,MODEM,"
Nous pourrions parler de politique nataliste, mais les socialistes se souviennent de la fin de l'universalité des allocations familiales. "
Jérôme Guedj,SOC,"
Ah, c'est donc de la faute des socialistes ! "
Philippe Vigier,MODEM,"
Le second défi est financier puisque, malheureusement, les cotisations sociales ne suffisent qu'à financer 80 % du coût des retraites, qui représente un peu plus de 340 milliards d'euros. Le déficit structurel dépasse donc 30 milliards d'euros, comme l'a bien montré le COR. Je vous rappelle que l'État intervient déjà pour compenser ce financement insuffisant.Il n'y a donc pas trente-six solutions. Baisser les retraites ? Nous ne le voulons pas. Augmenter les impôts ? Nous ne le voulons pas davantage. Je n'oublie pas que la réforme Touraine, souvent citée en exemple, a puisé cette année 2,3 milliards d'euros dans les poches des salariés français.Le troisième défi relève de la justice sociale. En effet, on ne peut pas à la fois déplorer l'existence de petites retraites et refuser de résoudre le problème. On ne peut pas à la fois déplorer l'injustice terrible du système envers les travailleurs aux carrières hachées, qui ne peuvent partir à taux plein avant 67 ans, et vouloir la maintenir. Pourtant, les personnes concernées sont majoritairement des femmes. Je n'ai pas entendu sur les bancs de la gauche d'élus capables de les défendre. "
Jocelyn Dessigny,RN,"
Sur les vôtres non plus ! "
